_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,ltfen_en_yakn_anlam_seiniz,ltfen_en_yakn_anlam_seiniz:confidence,ltfen_en_yakn_anlam_seiniz_gold,meaning_example1,meaning_example10,meaning_example11,meaning_example12,meaning_example13,meaning_example14,meaning_example15,meaning_example16,meaning_example17,meaning_example2,meaning_example3,meaning_example4,meaning_example5,meaning_example6,meaning_example7,meaning_example8,meaning_example9,predicate,predicate_no,sentence,sid
758626353,false,finalized,3,7/27/2015 14:38:22,Yüksek ve gür ses çıkarmak (Yaşasın hürriyet diye bağırsa ismi tarihe geçecekti.),1.0,,Yüksek ve gür ses çıkarmak (Yaşasın hürriyet diye bağırsa ismi tarihe geçecekti.),N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,"Kızmak (Kapıda bekleşen hulamlarına bağırdı, küfretti.)",N.A,N.A,N.A,N.A,N.A,N.A,N.A,bağır,1,Memo keyifle bağırdı : Ben iş diye buna derim iste ! ... ,2027
758626354,false,finalized,3,7/27/2015 14:19:41,"Herhangi bir kanıya, yargıya varmak (Bu işe herkes ne der?)",0.6676,,"Söylemek (Eskilerin dediği gibi beşer, şaşar.)",N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Ad vermek (Muşmulaya döngel de derler.),Bir dilde karşılığı olmak,"Herhangi bir kanıya, yargıya varmak (Bu işe herkes ne der?)",N.A,N.A,N.A,N.A,N.A,de,1,Memo keyifle bağırdı : Ben iş diye buna derim iste ! ... ,2027
758626355,false,finalized,3,7/27/2015 13:31:52,"Yer almak, arasında bulunmak (Eczacıbaşı Holding üçüncü sırada yer alıyor.)",1.0,,Bir şeyi ya da kişiyi bulunduğu yerden ayırmak (Sağ elinin çevik bir hareketiyle başındaki tülbendi çekip aldı.),N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Satın almak (Marketten süt aldım.),"Kısaltmak, eksiltmek. (Ceketin boyundan aldım.)",Temizlemek. (Karyolanın altını süpürge ile al.),İçeri girmesini sağlamak (Delikanlıyı evine almış.),"Yol gitmek, yol almak (O yolu bir saatte alırsınız.)",Kazanç sağlamak. (Bir pantolondan beş yüz lira alıyorlar.),Kabul etmek (İki hafta sonra beni işe aldılar.),"Yer almak, arasında bulunmak (Eczacıbaşı Holding üçüncü sırada yer alıyor.)",al,1,"Bu yaklaşım , toplumsal bilimleri de kapsamına alarak , tarihsel materyalizmi doğurmuştur . ",2028
758626356,false,finalized,3,7/27/2015 14:36:57,Hiçbiri,0.6619,,Kazanç sağlamak (Bu beş lirayı bitirmeden ben para kazanmalıyım.),N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,"Olumlu, iyi bir sonuç elde etmek (Böyle yazılara hiç cevap vermeyiz ve yazı çok ağırsa dava açarak çok defa kazanırız.)",N.A,N.A,N.A,N.A,N.A,N.A,N.A,kazan,1,Ekonomik ve Sosyal Konsey'e işlerlik kazandırılsın . ,2029
758626357,false,finalized,3,7/27/2015 14:09:28,Uyku durumundan çıkmak (Ali bir iki kez onun sesine uyandı.),1.0,,Uyku durumundan çıkmak (Ali bir iki kez onun sesine uyandı.),N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,"Belirmek, ortaya çıkmak (Gözüm daldı, hayalimde yine binbir zevk uyandı)",N.A,N.A,N.A,N.A,N.A,N.A,N.A,uyan,1,O sırada çınlayan telefonla uyandım . ,2030
758626358,false,finalized,5,7/27/2015 13:14:23,"Çeviri yapmak. (Romanlar, hikâyeler yazar; yahut Fransızcadan çevirirmiş.)",1.0,,Bir şeyin yönünü değiştirmek. (Sonra gözlerini gökyüzüne çevirdi.),N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Döndürerek hareket ettirmek. (Resimleri albüme yapıştırırken kocası da radyonun düğmesini çevirdi.),"Yolundan alıkoymak, yoldan döndürmek. (Arkadaşı bizi çevirip evine götürdü.)","Çeviri yapmak. (Romanlar, hikâyeler yazar; yahut Fransızcadan çevirirmiş.)","Bir yerin çevresini bir şeyle sarmak, kuşatmak. (Bağı duvarla çevirdiler.)",Dönüştürmek. (Evlerini otele çevirdiler.),N.A,N.A,N.A,çevir,1,Türkçe'ye çevrilen konuşmasını ben seslendirmiştim radyoda . ,2031
758626359,false,finalized,3,7/27/2015 14:21:39,Bir dilin kelimeleriyle düşüncesini sözlü olarak anlatmak (Çocuk daha konuşamıyor.),0.6754,,Bir dilin kelimeleriyle düşüncesini sözlü olarak anlatmak (Çocuk daha konuşamıyor.),N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,"Bir konuda karşılıklı söz etmek, sohbet etmek (İşten sonra Nuruosmaniye'deki İkbal kahvesinde arkadaşlarla şiir ve edebiyat konuşuyoruz.)",N.A,N.A,N.A,N.A,N.A,N.A,N.A,konuş,1,Türkçe'ye çevrilen konuşmasını ben seslendirmiştim radyoda . ,2031
758626360,false,finalized,3,7/27/2015 14:48:23,Bir şeyin varlığını algılamak (Merdivenin başındaki paravanın arkasında garip bir sahne gördüm.),0.3528,,Bir şeyin varlığını algılamak (Merdivenin başındaki paravanın arkasında garip bir sahne gördüm.),N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,"Yapmak, etmek (Bu makina artık iş görmez.)",Birşeye erişmek (Sonunda cebi para görmüştü.),Çok değer vermek (Gözü yalnız parayı görüyor.),Yüzü bir yöne doğru olmak (Ev güneş görüyor.),Bir şey hakkında bir yargıya varmak (Bu işin sonunu iyi görmüyorum.),"Kendisine yapılmak, bir davranışla karşılaşmak (Yarar görmek, kötülük görmek)","Bir işleme uğramak (Teftiş görmek, tedavi görmek)",N.A,gör,1,Bunların yararını da görmüştü . ,2032
758626361,false,finalized,3,7/27/2015 14:29:16,Bir şeyi ya da kişiyi bulunduğu yerden ayırmak (Sağ elinin çevik bir hareketiyle başındaki tülbendi çekip aldı.),1.0,,Bir şeyi ya da kişiyi bulunduğu yerden ayırmak (Sağ elinin çevik bir hareketiyle başındaki tülbendi çekip aldı.),N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Satın almak (Marketten süt aldım.),"Kısaltmak, eksiltmek. (Ceketin boyundan aldım.)",Temizlemek. (Karyolanın altını süpürge ile al.),İçeri girmesini sağlamak (Delikanlıyı evine almış.),"Yol gitmek, yol almak (O yolu bir saatte alırsınız.)",Kazanç sağlamak. (Bir pantolondan beş yüz lira alıyorlar.),Kabul etmek (İki hafta sonra beni işe aldılar.),"Yer almak, arasında bulunmak (Eczacıbaşı Holding üçüncü sırada yer alıyor.)",al,1,"Çocuk utandı , donu aldı , birlikte yürümeye başladılar uzakta görülen kıyı lokantasına doğru . ",2033
758626362,false,finalized,3,7/27/2015 14:53:43,Bir işe girişmek (Şairliğe on sekiz yaşında gazel ve rubailerle başlamıştı.),1.0,,Bir işe girişmek (Şairliğe on sekiz yaşında gazel ve rubailerle başlamıştı.),N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,"Olmak, oluşmak, ortaya çıkmak, doğmak (Şiirimiz milletimizin Anadolu'daki teşekkülü ile başlar.)",Görünmek (Kasabanın kenar mahallelerinden sonra bir mezarlık başlardı.),N.A,N.A,N.A,N.A,N.A,N.A,başla,1,"Çocuk utandı , donu aldı , birlikte yürümeye başladılar uzakta görülen kıyı lokantasına doğru . ",2033
758626363,false,finalized,3,7/27/2015 14:12:12,Bir şeyin varlığını algılamak (Merdivenin başındaki paravanın arkasında garip bir sahne gördüm.),1.0,,Bir şeyin varlığını algılamak (Merdivenin başındaki paravanın arkasında garip bir sahne gördüm.),N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,"Yapmak, etmek (Bu makina artık iş görmez.)",Birşeye erişmek (Sonunda cebi para görmüştü.),Çok değer vermek (Gözü yalnız parayı görüyor.),Yüzü bir yöne doğru olmak (Ev güneş görüyor.),Bir şey hakkında bir yargıya varmak (Bu işin sonunu iyi görmüyorum.),"Kendisine yapılmak, bir davranışla karşılaşmak (Yarar görmek, kötülük görmek)","Bir işleme uğramak (Teftiş görmek, tedavi görmek)",N.A,gör,1,"Çocuk utandı , donu aldı , birlikte yürümeye başladılar uzakta görülen kıyı lokantasına doğru . ",2033
758626364,false,finalized,4,7/27/2015 13:07:21,Hiçbiri,0.5024,,"Bir şeye hafifçe dokunmak (Elim çiçeklere ilişti, vazo devrildi.)",N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,"Karışmak, burnunu sokmak (Derginin politikasıyla tam uyuşmasam da burada tek satırıma ilişmediler.)",N.A,N.A,N.A,N.A,N.A,N.A,N.A,iliş,1,Çöreklere iliştirilmiş davetiyeler de . ,2039
758626365,false,finalized,3,7/27/2015 14:44:53,Harcamak (Bütün günüm seni takip etmekle geçti.),0.3482,,Bir yerden başka bir yere gitmek (Elindeki kitabı bırakıp bulundukları odaya geçtim.),Kullanımda olmak (Bu para artık geçmiyor.),Konuşmada sözü geçmek veya basında yer almak (Hatta ölümünün gazetelere bile geçmemesini istemişti.),N.A,N.A,N.A,N.A,N.A,N.A,"Bırakmak, vazgeçmek (Bana yardan geç derler.)",Bir duruma uğramak (Dayaktan geçmek. Muayeneden geçmek),"Olmak, vuku bulmak (Bu odanın içinde geçen aşk anları artık çok uzaklardaydı.)","Bulaşmak, aktarılmak (Bu titizlik ona babasından geçmiş.)","Tükenmek, bitmek (Yavaş yavaş bu hırs geçer.)","Geride bırakmak, aşmak (Bizim yelkenli vapuru geçecek.)",Harcamak (Bütün günüm seni takip etmekle geçti.),"Yazılmak, girmek (Tarihe geçti.)",geç,1,Öyle geçer yaşam . ,2040
758626366,false,finalized,3,7/27/2015 14:24:13,Hiçbiri,666,,Bakışı bir şey üzerine çevirmek. (Hangi resmime baksam ben değilim.),N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,"Beslemek, geçindirmek. (Üç çocuklu bir aileye bakıyor.)","Anlamak, farkına varmak. (Bazı akşamlar bakarım Halil savuşur, nereye gittiğini de kimseye söylemez.)",N.A,N.A,N.A,N.A,N.A,N.A,bak,1,O nasıl her olumsuzluğa olumlu bir gözle bakıyor öyküde ? ,2042
758626367,false,finalized,3,7/27/2015 13:35:34,Bir duruma uğramak (Dayaktan geçmek. Muayeneden geçmek),0.3418,,Bir yerden başka bir yere gitmek (Elindeki kitabı bırakıp bulundukları odaya geçtim.),Kullanımda olmak (Bu para artık geçmiyor.),Konuşmada sözü geçmek veya basında yer almak (Hatta ölümünün gazetelere bile geçmemesini istemişti.),N.A,N.A,N.A,N.A,N.A,N.A,"Bırakmak, vazgeçmek (Bana yardan geç derler.)",Bir duruma uğramak (Dayaktan geçmek. Muayeneden geçmek),"Olmak, vuku bulmak (Bu odanın içinde geçen aşk anları artık çok uzaklardaydı.)","Bulaşmak, aktarılmak (Bu titizlik ona babasından geçmiş.)","Tükenmek, bitmek (Yavaş yavaş bu hırs geçer.)","Geride bırakmak, aşmak (Bizim yelkenli vapuru geçecek.)",Harcamak (Bütün günüm seni takip etmekle geçti.),"Yazılmak, girmek (Tarihe geçti.)",geç,1,Boru hattının geçeceği bölgelerde sivil toplum örgütlerinin de katılımıyla teklif komisyonları kurulacak . ,2043
758626368,false,finalized,3,7/27/2015 14:46:59,"Söylemek (Eskilerin dediği gibi beşer, şaşar.)",1.0,,"Söylemek (Eskilerin dediği gibi beşer, şaşar.)",N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Ad vermek (Muşmulaya döngel de derler.),Bir dilde karşılığı olmak,"Herhangi bir kanıya, yargıya varmak (Bu işe herkes ne der?)",N.A,N.A,N.A,N.A,N.A,de,1,"Geeç , dedi gözlerini kapayıp başıyla sınıfın arka sıralarını göstererek . ",2044
758626369,false,finalized,3,7/27/2015 14:03:47,"Bir açıklığı örtmek (Hasan, hemen kapıyı kapadı, kaçtı.)",1.0,,"Bir açıklığı örtmek (Hasan, hemen kapıyı kapadı, kaçtı.)",N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,"Çalışamaz, görev ve iş yapamaz duruma getirmek (Dükkanı beş gibi kapıyoruz.)",Bitirmek (Endeks ilk seansı 5 bin 100 puandan kapadı.),N.A,N.A,N.A,N.A,N.A,N.A,kapa,1,"Geeç , dedi gözlerini kapayıp başıyla sınıfın arka sıralarını göstererek . ",2044
758626370,false,finalized,3,7/27/2015 13:52:31,"Görülmesini sağlamak, görmesine yol açmak (Size kitaplarımı göstereyim.)",1.0,,"Görülmesini sağlamak, görmesine yol açmak (Size kitaplarımı göstereyim.)",N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Yardımcı fiil Etmek (İtaat göstermek. Dayanışma göstermek.),N.A,N.A,N.A,N.A,N.A,N.A,N.A,göster,1,"Geeç , dedi gözlerini kapayıp başıyla sınıfın arka sıralarını göstererek . ",2044
758626372,false,finalized,3,7/27/2015 15:00:01,Birine soru yönelterek herhangi bir konuda bilgi istemek (Hastanenin nöbetçi doktoru yok mu? diye soruyorum),1.0,,Birine soru yönelterek herhangi bir konuda bilgi istemek (Hastanenin nöbetçi doktoru yok mu? diye soruyorum),N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Çok iyi bilmek (Bu işi benden sorarlar),N.A,N.A,N.A,N.A,N.A,N.A,N.A,sor,1,Hatta sözcüklerin yerlerini değiştirip de sorabiliriz . ,2045
758626373,false,finalized,3,7/27/2015 14:25:41,Hiçbiri,0.6547,,Bir yerden ayrılmak (Yeni evimizden çıkıp eski evimize taşındık.),N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,"Bir yere ulaşmak, varmak (Sağa sola saptılar, demir yoluna çıktılar.)","Yayılmak, gelmek (Lağımdan pis kokular çıkıyor.)",N.A,N.A,N.A,N.A,N.A,N.A,çık,1,"O da hararetin yüksek çıkmasına neden oldu "" dedi . ",2046
758626374,false,finalized,3,7/27/2015 13:48:55,"Söylemek (Eskilerin dediği gibi beşer, şaşar.)",1.0,,"Söylemek (Eskilerin dediği gibi beşer, şaşar.)",N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Ad vermek (Muşmulaya döngel de derler.),Bir dilde karşılığı olmak,"Herhangi bir kanıya, yargıya varmak (Bu işe herkes ne der?)",N.A,N.A,N.A,N.A,N.A,de,1,"O da hararetin yüksek çıkmasına neden oldu "" dedi . ",2046
758626375,false,finalized,3,7/27/2015 14:22:19,Bir yargıya varmak (Ben de bunu akıllıca buldum.),1.0,,Kaybedilen bir şeyi yeniden ele geçirmek (Anahtarlarımı buldum.),N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,"Keşfetmek , icat etmek (Şu kuvvetin, cevherin sırrını bulmaya çalışıyorum.)",İstenilen şeye kavuşmak (Kadınlık namına düşündüğüm şeylerin hiçbirini karımda bulamadım.),Bir yargıya varmak (Ben de bunu akıllıca buldum.),N.A,N.A,N.A,N.A,N.A,bul,1,"Neyse , nasıl buldun öykümün girişini . ",2047
758626376,false,finalized,3,7/27/2015 13:38:10,"Ulaşmak, varmak (Gurbetten gelmişim yorgunum, hancı.)",0.6857,,"Ulaşmak, varmak (Gurbetten gelmişim yorgunum, hancı.)",Kazanılmak (Çiftlikten onlara ayda beş yüz milyon lira gelir.),Uymak (Bu ayakkabı sana küçük gelir.),"Görünmek, sanılmak (Ayıp gelmek, tanıdık gelmek)",Mal olmak (Bu bardakların tanesi yüz liraya geldi.),Herhangi bir sırada bulunmak (Yarışta birinci geldi.),"Yapabilmek, elinden gelmek",İçinden gelmek (Çok içimden geldi.),Yönelme durumundaki bazı kelimelere getirilerek yapılan birleşik fiil (Yola gelmek. Meydana gelmek. Hatıra gelmek. Akla gelmek),İsabet etmek (Attığı top gözüme geldi.),Varlığını sürdürmek (Eski çağlardan birçok anıt çağımıza kadar gelmiştir.),"Belli bir süre dolmak (Vakit kuşluğu aşmış, öğleye geliyordu.)","İzlemek, takip etmek. (Çocuklar arkadan geliyordu.)",Eklenmek (Türkçede ekler kelimelerin sonuna gelir.),"Dayanmak (Birazcık üşütmeye gelmiyor, hemen hastalanıyor.)",Doğruluğuna hak vermek (Dediğime geldiniz mi?),Etkisini herhangi bir biçimde göstermek (Burası bana çok sıcak geldi.),gel,1,Ben de ondan iki sene sonra geliyorum ya . ,2049
758626377,false,finalized,3,7/27/2015 13:42:54,Bakışı bir şey üzerine çevirmek. (Hangi resmime baksam ben değilim.),1.0,,Bakışı bir şey üzerine çevirmek. (Hangi resmime baksam ben değilim.),N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,"Beslemek, geçindirmek. (Üç çocuklu bir aileye bakıyor.)","Anlamak, farkına varmak. (Bazı akşamlar bakarım Halil savuşur, nereye gittiğini de kimseye söylemez.)",N.A,N.A,N.A,N.A,N.A,N.A,bak,1,Hele bir de cep defterimize bakalım . ,2050
758626378,false,finalized,3,7/27/2015 14:08:49,Hiçbiri,0.3574,,"Dışarıdan içeriye geçmek (Birlikte kiliseden içeri giriyoruz, ben topallıyorum.)",N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Sığmak (Elim bu eldivene girmiyor.),Katılmak (Bugün edebiyat imtihanına girdim.),Erişmek (yaş olarak) (Yirmisine girdi.),"Karışmak, eklenmek (Devreye girmek, araya girmek)",Bir duruma geçmek (Şoka girdim.),N.A,N.A,N.A,gir,1,Koluna girebilir miyim ? ,2053
758626379,false,finalized,3,7/27/2015 14:27:01,"Ulaşmak, varmak (Gurbetten gelmişim yorgunum, hancı.)",1.0,,"Ulaşmak, varmak (Gurbetten gelmişim yorgunum, hancı.)",Kazanılmak (Çiftlikten onlara ayda beş yüz milyon lira gelir.),Uymak (Bu ayakkabı sana küçük gelir.),"Görünmek, sanılmak (Ayıp gelmek, tanıdık gelmek)",Mal olmak (Bu bardakların tanesi yüz liraya geldi.),Herhangi bir sırada bulunmak (Yarışta birinci geldi.),"Yapabilmek, elinden gelmek",İçinden gelmek (Çok içimden geldi.),Yönelme durumundaki bazı kelimelere getirilerek yapılan birleşik fiil (Yola gelmek. Meydana gelmek. Hatıra gelmek. Akla gelmek),İsabet etmek (Attığı top gözüme geldi.),Varlığını sürdürmek (Eski çağlardan birçok anıt çağımıza kadar gelmiştir.),"Belli bir süre dolmak (Vakit kuşluğu aşmış, öğleye geliyordu.)","İzlemek, takip etmek. (Çocuklar arkadan geliyordu.)",Eklenmek (Türkçede ekler kelimelerin sonuna gelir.),"Dayanmak (Birazcık üşütmeye gelmiyor, hemen hastalanıyor.)",Doğruluğuna hak vermek (Dediğime geldiniz mi?),Etkisini herhangi bir biçimde göstermek (Burası bana çok sıcak geldi.),gel,1,Yeni sekreter adayımız mı geldi dersiniz . ,2054
758626380,false,finalized,3,7/27/2015 14:43:03,"Söylemek (Eskilerin dediği gibi beşer, şaşar.)",1.0,,"Söylemek (Eskilerin dediği gibi beşer, şaşar.)",N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Ad vermek (Muşmulaya döngel de derler.),Bir dilde karşılığı olmak,"Herhangi bir kanıya, yargıya varmak (Bu işe herkes ne der?)",N.A,N.A,N.A,N.A,N.A,de,1,Yeni sekreter adayımız mı geldi dersiniz . ,2054
758626381,false,finalized,3,7/27/2015 13:48:55,"Bir açıklığı örtmek (Hasan, hemen kapıyı kapadı, kaçtı.)",1.0,,"Bir açıklığı örtmek (Hasan, hemen kapıyı kapadı, kaçtı.)",N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,"Çalışamaz, görev ve iş yapamaz duruma getirmek (Dükkanı beş gibi kapıyoruz.)",Bitirmek (Endeks ilk seansı 5 bin 100 puandan kapadı.),N.A,N.A,N.A,N.A,N.A,N.A,kapa,1,kapa gözünü ! . ,2055
758626382,false,finalized,3,7/27/2015 14:37:23,Bakışı bir şey üzerine çevirmek. (Hangi resmime baksam ben değilim.),1.0,,Bakışı bir şey üzerine çevirmek. (Hangi resmime baksam ben değilim.),N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,"Beslemek, geçindirmek. (Üç çocuklu bir aileye bakıyor.)","Anlamak, farkına varmak. (Bazı akşamlar bakarım Halil savuşur, nereye gittiğini de kimseye söylemez.)",N.A,N.A,N.A,N.A,N.A,N.A,bak,1,Son defa da aynı yokuşun başında durup ışıklı pencerelere bakmıştım . ,2056
