_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,farg_secim,farg_secim:confidence,hata,orig__golden,arg0,arg1,arg2,arg3,arg4,ex0,ex1,ex2,farg,farg_secim_gold,farg_secim_gold_reason,pred,pred_no,senseid,sent,sid
853873254,true,golden,3,"",tanıyan,0.6989,"

",TRUE,tanıyan,tanınan,N.A,N.A,N.A,"&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>Tarık Bey, albümü görür görmez tanıdı.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: tanıdı<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>hatırlayan</b>: Tarık Bey<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>hatırlanan şey</b>: albümü<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylemin ne zaman (Eylül, Pazartesi), ne sıklıkla (her zaman, bazen), hangi sırada (ilk, son) ya da ne kadar süreliğine (bir aylığına) gerçekleştiği</b>: görür görmez<br>","&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>İngiltere 1783 Paris Antlaşmasıyla, kolonilerin bağımsızlığını resmen tanıdı.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: tanıdı<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>hatırlayan</b>: İngiltere<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylemin nasıl gerçekleştiği (hızlıca, güzel, yavaş)</b>: 1783 Paris Antlaşmasıyla<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>hatırlanan şey</b>: kolonilerin bağımsızlığını<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylemin nasıl gerçekleştiği (hızlıca, güzel, yavaş)</b>: resmen<br>",N.A,Eroin,tanıyan,"Tanıyan kimdir, nedir ?",tanı,1,1,Eroin kendisine rakip sevgili tanımaz . ,188
853873255,true,golden,11,"",tanınan,0.9249,"









",TRUE,tanıyan,tanınan,N.A,N.A,N.A,"&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>Tarık Bey, albümü görür görmez tanıdı.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: tanıdı<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>hatırlayan</b>: Tarık Bey<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>hatırlanan şey</b>: albümü<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylemin ne zaman (Eylül, Pazartesi), ne sıklıkla (her zaman, bazen), hangi sırada (ilk, son) ya da ne kadar süreliğine (bir aylığına) gerçekleştiği</b>: görür görmez<br>","&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>İngiltere 1783 Paris Antlaşmasıyla, kolonilerin bağımsızlığını resmen tanıdı.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: tanıdı<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>hatırlayan</b>: İngiltere<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylemin nasıl gerçekleştiği (hızlıca, güzel, yavaş)</b>: 1783 Paris Antlaşmasıyla<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>hatırlanan şey</b>: kolonilerin bağımsızlığını<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylemin nasıl gerçekleştiği (hızlıca, güzel, yavaş)</b>: resmen<br>",N.A,sevgili,tanınan,Neyi tanımaz ?,tanı,1,1,Eroin kendisine rakip sevgili tanımaz . ,188
853873256,true,golden,5,"",başlayan,0.7935,"



",TRUE,başlayan,neye başladığı,nasıl/ne ile başlanıldığı,N.A,N.A,"&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>Şairliğe on sekiz yaşında gazel ve rubailerle başlamıştı.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>girişilen iş</b>: Şairliğe<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylemin ne zaman (Eylül, Pazartesi), ne sıklıkla (her zaman, bazen), hangi sırada (ilk, son) ya da ne kadar süreliğine (bir aylığına) gerçekleştiği</b>: on sekiz yaşında<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>ne ile girişildiği</b>: gazel ve rubailerle<br>",N.A,N.A,görüşmelerin,neye başladığı,"Ne başlayacak ? ""Görüşmeler"". Örnek 1'i inceleyiniz.",başla,1,1,"Şahin , TSMF Avrupa Birinci Bölge Direktörü BDDK ' ile yarın başlayacak görüşmelerin en önemli gündeminin memur ve işçilere yapılacak zam ile atıl istihdam olduğunu belirtti . ",222
853873257,true,golden,3,"","Ne Zaman (Eylül, Pazartesi), Ne Sıklıkla (her zaman, bazen), Kaçıncı (ilk, son) ya da Ne kadarlığına (bir aylığına)",1.0,"

",TRUE,başlayan,neye başladığı,nasıl/ne ile başlanıldığı,N.A,N.A,"&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>Şairliğe on sekiz yaşında gazel ve rubailerle başlamıştı.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>girişilen iş</b>: Şairliğe<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylemin ne zaman (Eylül, Pazartesi), ne sıklıkla (her zaman, bazen), hangi sırada (ilk, son) ya da ne kadar süreliğine (bir aylığına) gerçekleştiği</b>: on sekiz yaşında<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>ne ile girişildiği</b>: gazel ve rubailerle<br>",N.A,N.A,yarın,"Ne Zaman (Eylül, Pazartesi), Ne Sıklıkla (her zaman, bazen), Kaçıncı (ilk, son) ya da Ne kadarlığına (bir aylığına)",Ne zaman başlayacak ? ,başla,1,1,"Şahin , TSMF Avrupa Birinci Bölge Direktörü BDDK ' ile yarın başlayacak görüşmelerin en önemli gündeminin memur ve işçilere yapılacak zam ile atıl istihdam olduğunu belirtti . ",222
853873258,true,golden,5,"",neye özendirildiği,1.0,"



",TRUE,özendiren,özendirilen kişi,neye özendirildiği,N.A,N.A,N.A,N.A,N.A,duymaya,neye özendirildiği,"Neye özendiriliyor ? ""kendisine güven duymaya""",et,1,30,"Bir çocuğa ailenin vereceği en önemli şey , kendisini değerli hissetmesi , varlığından mutlu olunduğunu bilmesi , önemsendiğini hissetmesi ve kendisine güven duymaya teşvik edilmesidir . ",239
853873259,true,golden,4,"","Yardımcı fiil elemanı (mezun olmak'taki mezun, hayal etmek'teki hayal vb... )",1.0,"


",TRUE,özendiren,özendirilen kişi,neye özendirildiği,N.A,N.A,N.A,N.A,N.A,teşvik,"Yardımcı fiil elemanı (mezun olmak'taki mezun, hayal etmek'teki hayal vb... )","""teşvik edilmesidir"" yardımcı fiille kurulmuş bir eylemdir. Yukarıdaki ""Instructions"" kısmından yardımcı fiilli örneği okuyunuz. ",et,1,30,"Bir çocuğa ailenin vereceği en önemli şey , kendisini değerli hissetmesi , varlığından mutlu olunduğunu bilmesi , önemsendiğini hissetmesi ve kendisine güven duymaya teşvik edilmesidir . ",239
853873260,true,golden,2,"",neye uyduğu,1.0,"
",TRUE,N.A,uyan şey,neye uyduğu,N.A,N.A,&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>Şapkan montuna uymuş.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: uymuş<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>uyan şey</b>: Şapkan<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>uyduğu şey</b>: montuna<br>,N.A,N.A,bize,neye uyduğu,"",uy,1,1,"Dil bükmüş , bize uydurmuşuz . ",245
853873261,true,golden,5,"","Nasıl (hızlıca, güzel, yavaş, yapıp, koşup vb)",1.0,"



",TRUE,giren kişi,N.A,N.A,N.A,nereye girildiği,"&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>Birlikte kiliseden içeri giriyoruz, ben topallıyorum.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: giriyoruz<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylemin kiminle/kimlerle yapıldığı (Kardeşimle, NATOyla, onlarla)</b>: Birlikte<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>girilen yer</b>: kiliseden içeri<br>",N.A,N.A,tıkırdatarak,"Nasıl (hızlıca, güzel, yavaş, yapıp, koşup vb)",Nasıl içeri girdi ? ,gir,1,1,Dört külah dondurmayı iki eliyle tutan kız takunyalarını tıkırdatarak içeri girdi . ,274
853873262,true,golden,5,"",nereye girildiği,1.0,"



",TRUE,giren kişi,N.A,N.A,N.A,nereye girildiği,"&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>Birlikte kiliseden içeri giriyoruz, ben topallıyorum.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: giriyoruz<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylemin kiminle/kimlerle yapıldığı (Kardeşimle, NATOyla, onlarla)</b>: Birlikte<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>girilen yer</b>: kiliseden içeri<br>",N.A,N.A,içeri,nereye girildiği,Nereye girdi ?,gir,1,1,Dört külah dondurmayı iki eliyle tutan kız takunyalarını tıkırdatarak içeri girdi . ,274
853873263,true,golden,4,"","Kiminle (Kardeşimle, NATOyla, onlarla)",0.5026,"


",TRUE,N.A,oturan,nereye oturduğu,N.A,N.A,"&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>Şöyle geç, koltuğa otur.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: otur<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>yerleştiği yer</b>: koltuğa<br>",N.A,N.A,bakanlarıyla,"Kiminle (Kardeşimle, NATOyla, onlarla)",Kimlerle otururken ? ,otur,1,1,"Ecevit partisinin bakanlarıyla protokolün bir tarafında otururken , diğer tarafta CHP'liler yer aldı . ",275
853873264,true,golden,7,"",nereye oturduğu,1.0,"





",TRUE,N.A,oturan,nereye oturduğu,N.A,N.A,"&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>Şöyle geç, koltuğa otur.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: otur<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>yerleştiği yer</b>: koltuğa<br>",N.A,N.A,tarafında,nereye oturduğu,"Nerede oturuyor ? ""protokolün bir tarafında""",otur,1,1,"Ecevit partisinin bakanlarıyla protokolün bir tarafında otururken , diğer tarafta CHP'liler yer aldı . ",275
853873265,true,golden,4,"",dönüşen,1.0,"


",TRUE,N.A,dönüşen,neye dönüştüğü,N.A,N.A,N.A,N.A,N.A,ilişki,dönüşen,"",dönüş,1,1,"Onun güzelliğine duyduğum hayranlıkla başlayan ilişki daha sonra kesin bir cinsel bağımlılığa dönüşmüş ve hep öyle sürmüştü , hatta bir ara artık onun güzelliğini bile fark edemez hale gelmiştim . ",314
853873266,true,golden,5,"","Ne Zaman (Eylül, Pazartesi), Ne Sıklıkla (her zaman, bazen), Kaçıncı (ilk, son) ya da Ne kadarlığına (bir aylığına)",0.8001,"



",TRUE,N.A,dönüşen,neye dönüştüğü,N.A,N.A,N.A,N.A,N.A,sonra,"Ne Zaman (Eylül, Pazartesi), Ne Sıklıkla (her zaman, bazen), Kaçıncı (ilk, son) ya da Ne kadarlığına (bir aylığına)", ,dönüş,1,1,"Onun güzelliğine duyduğum hayranlıkla başlayan ilişki daha sonra kesin bir cinsel bağımlılığa dönüşmüş ve hep öyle sürmüştü , hatta bir ara artık onun güzelliğini bile fark edemez hale gelmiştim . ",314
853873267,true,golden,6,"",neye dönüştüğü,1.0,"




",TRUE,N.A,dönüşen,neye dönüştüğü,N.A,N.A,N.A,N.A,N.A,bağımlılığa,neye dönüştüğü,İlişki neye dönüşmüştü ? İlişkinin dönüştüğü son hal nedir ?,dönüş,1,1,"Onun güzelliğine duyduğum hayranlıkla başlayan ilişki daha sonra kesin bir cinsel bağımlılığa dönüşmüş ve hep öyle sürmüştü , hatta bir ara artık onun güzelliğini bile fark edemez hale gelmiştim . ",314
853873268,false,golden,3,12/31/2015 12:18:17,bulunan şey,0.6809,"

",TRUE,bulan kimse,bulunan şey,nerede bulunduğu,N.A,N.A,&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>Anahtarlarımı cüzdanımda buldum.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>bulunan şey</b>: Anahtarlarımı<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>bulunan yer</b>: cüzdanımda<br>,N.A,N.A,fıstık,bulunan şey,Ne bul? Kimi bul ?,bul,1,1,"Bul bir fıstık kan , at evine , rahatla , derdin bu senin . ",315
853873269,true,golden,5,"",kurulan,1.0,"



",TRUE,kuran,kurulan,N.A,N.A,N.A,"&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>Geniş çöl ufukları arasında çadırlarımızı kurduk.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: kurduk<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylemin nerede, hangi lokasyonda gerçekleştiği (soyut da olabilir) (mahallede, konuşmasında, hayalinde)</b>: Geniş çöl ufukları arasında<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>kurulan</b>: çadırlarımızı<br>",N.A,N.A,Bahai,kurulan,"""dokuz. yüzyılda kurulan Bahai""",kur,2,1,Evenlerin tarihte dokuz devlet kurduğunu ve bunlardan dokuz. yüzyılda kurulan Bahai ile oniki. yüzyılda kurulan Sin'in ( Altın ) imparatorluk olduğunu da belirtti . ,341
853873270,true,golden,7,"","Ne Zaman (Eylül, Pazartesi), Ne Sıklıkla (her zaman, bazen), Kaçıncı (ilk, son) ya da Ne kadarlığına (bir aylığına)",1.0,"





",TRUE,kuran,kurulan,N.A,N.A,N.A,"&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>Geniş çöl ufukları arasında çadırlarımızı kurduk.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: kurduk<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylemin nerede, hangi lokasyonda gerçekleştiği (soyut da olabilir) (mahallede, konuşmasında, hayalinde)</b>: Geniş çöl ufukları arasında<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>kurulan</b>: çadırlarımızı<br>",N.A,N.A,yüzyılda,"Ne Zaman (Eylül, Pazartesi), Ne Sıklıkla (her zaman, bazen), Kaçıncı (ilk, son) ya da Ne kadarlığına (bir aylığına)","Ne zaman kurulmuş? ""dokuz. yüzyılda"" ",kur,2,1,Evenlerin tarihte dokuz devlet kurduğunu ve bunlardan dokuz. yüzyılda kurulan Bahai ile oniki. yüzyılda kurulan Sin'in ( Altın ) imparatorluk olduğunu da belirtti . ,341
853873271,true,golden,3,"",belirlenen,1.0,"

",TRUE,belirleyen,belirlenen,N.A,N.A,N.A,"&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>Başına ne geleceğini tamamen tesadüfler belirledi.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>belirlenen</b>: Başına ne geleceğini<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>belirleyen</b>: tesadüfler<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Genelde tüm cümleyi etkileyen, diğer argüman tanımlarına uymayan zarf öğeler (Mutlaka, muhtemelen vb...)</b>: tamamen<br>",N.A,N.A,tavır,belirlenen,"",belirle,1,1,"İsim değiştiren bir örgütün faaliyetleri ilerde de haber konusu olabileceğine göre , bu konuda bir tavır belirlemek önemli . ",377
853873272,true,golden,7,"","Ne Zaman (Eylül, Pazartesi), Ne Sıklıkla (her zaman, bazen), Kaçıncı (ilk, son) ya da Ne kadarlığına (bir aylığına)",1.0,"





",TRUE,alan kişi/şey,alınan,ne ile alındığı,nereden alındığı,nereye alındığı,"&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>Sağ elinin çevik bir hareketiyle başındaki tülbendi çekip aldı.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>alınan</b>: başındaki tülbendi<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylemin nasıl gerçekleştiği (hızlıca, güzel, yavaş)</b>: Sağ elinin çevik bir hareketiyle<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylemin nasıl gerçekleştiği (hızlıca, güzel, yavaş)</b>: çekip<br>",N.A,N.A,Bazen,"Ne Zaman (Eylül, Pazartesi), Ne Sıklıkla (her zaman, bazen), Kaçıncı (ilk, son) ya da Ne kadarlığına (bir aylığına)
Tüm cümleyi etkileyen, diğer tanımlara uymayan zarflar (Mutlaka, muhtemelen vb...)",Ne zaman ? ,al,1,1,Bazen de bütün paranı alır . ,394
